CLOVER,2013,9/9/2013 0:00,6,Miscellaneous,8056,40.4919,-122.4994
WRAGG,2015,7/22/2015 0:00,14,Equipment Use,8051,38.50581,-122.111542
WALKER WYE,2012,8/12/2012 0:00,7,Equipment Use,7934,39.01158,-122.44192
NICKOWITZ,2015,8/1/2015 0:00,93,Lightning,7571,41.46861111,-123.7516667
CHARIOT,2013,7/6/2013 0:00,9,Miscellaneous,7056,32.966662,-116.45733
PANTHER,2013,5/1/2013 0:00,8,Debris Burning,6965,40.18805556,-121.6019444
CABIN,2015,7/19/2015 0:00,127,Lightning,6960,36.23527778,-118.5355556
GROVES,2015,7/30/2015 0:00,92,Lightning,6797.8,40.95694444,-123.4533333
ROUND,2015,2/6/2015 0:00,10,Missing/Undefined,6533,37.4536,-118.5842
MONTICELLO,2014,7/4/2014 0:00,8,Miscellaneous,6488,38.512226,-122.10395
PEAK,2015,7/30/2015 0:00,92,Lightning,6269,40.49222222,-123.1983333
COFFEE,2014,7/29/2014 0:00,93,Lightning,6258,41.14083333,-122.8047222
SUMMIT,2013,5/1/2013 0:00,4,Missing/Undefined,5912,33.94525,-116.876917
WILLOW,2015,7/25/2015 0:00,,Arson,5702,37.262607,-119.511139
COON,2015,8/1/2015 0:00,,Lightning,5679,41.76361111,-123.9622222
LITTLE DEER,2014,7/31/2014 0:00,12,Lightning,5498,41.68166667,-122.1269444
TOMAHAWK,2014,5/14/2014 0:00,,Missing/Undefined,5367,33.3830556,-117.2636111
JOHN,2011,9/13/2011 0:00,3,Equipment Use,5353,37.1378,-118.2822
MOTOR,2011,8/25/2011 0:00,16,Equipment Use,5230,37.6625,-119.8713889
FAULKSTEIN,2014,8/11/2014 0:00,14,Lightning,5225,41.705,-123.1911111
ANTELOPE,2011,6/19/2011 0:00,2,Miscellaneous,5196,35.4842,-119.8633
THREE SLASHES,2011,8/29/2011 0:00,36,Miscellaneous,5169,33.27083333,-114.7108333
BANNER 4,2012,5/24/2012 0:00,,Missing/Undefined,5132,33.083889,-116.573333
,2011,9/23/2011 0:00,,Missing/Undefined,5050,35.261368,-120.643765
STONY,2014,6/19/2014 0:00,,Missing/Undefined,4840,35.9877778,-121.2872222
FROG,2015,7/30/2015 0:00,90,Lightning,4812,41.39833333,-121.3916667
MEADOW,2014,8/14/2014 0:00,41,Lightning,4776,37.71229,-119.509
EL PORTAL,2014,7/26/2014 0:00,38,Powerline,4748,37.67684,-119.78005
MISSION,2013,8/22/2013 0:00,3,Missing/Undefined,4500,34.398611,-119.381389
SCOTTS,2012,9/7/2012 0:00,7,Campfire,4416,39.15006,-123.05031
,2013,5/16/2013 0:00,,Missing/Undefined,4358,33.929714,-118.147584
GRAND,2013,5/15/2013 0:00,6,Miscellaneous,4346,34.81888889,-118.9108333
BUTTS,2014,7/1/2014 0:00,2,Equipment Use,4300,38.671667,-122.444722
NORTH,2015,7/17/2015 0:00,0,Miscellaneous,4250,34.33916667,-117.4777778
SAND,2014,7/25/2014 0:00,9,Miscellaneous,4240,38.553483,-120.835583
WILLIAMS,2012,9/2/2012 0:00,40,Equipment Use,4200,34.23833333,-117.8130556
SITES COMPLEX,2012,7/8/2012 0:00,5,Arson,4185,39.35442,-122.39578
STAFFORD,2012,9/5/2012 0:00,23,Miscellaneous,4047,40.5175,-123.0844444
WAY,2014,8/18/2014 0:00,0,Miscellaneous,4045,35.72611111,-118.4791667
CARL,2015,4/28/2015 0:00,,Missing/Undefined,4000,33.4211111,-117.5033333
BORDER 6,2012,5/17/2012 0:00,2,Miscellaneous,3910,32.607709,-116.242944
HATHAWAY,2013,6/6/2013 0:00,14,Campfire,3870,34.025,-116.8416667
WALKER,2015,8/14/2015 0:00,78,Miscellaneous,3676,37.87805556,-119.1591667
NELSON  W1,2012,8/17/2012 0:00,17,Lightning,3661,41.2917,-120.4269
LOG,2014,7/30/2014 0:00,0,Lightning,3632,41.55,-123.0538889
MCCABE,2013,11/22/2013 0:00,6,Miscellaneous,3505,38.8055,-122.81495
DOG,2015,7/30/2015 0:00,67,Lightning,3273,40.60888889,-123.0880556
BARKER,2015,7/31/2015 0:00,43,Miscellaneous,3261,40.6043,-123.08045
ALISO,2010,7/13/2010 0:00,2,Missing/Undefined,3225,33.321389,-117.386667
APPLEGATE,2014,10/8/2014 0:00,7,Missing/Undefined,3213,39.003838,-120.993454
QUINN,2011,6/21/2011 0:00,2,Missing/Undefined,3147,35.751944,-118.930556
CANYON,2011,9/4/2011 0:00,7,Equipment Use,3128,35.0806,-118.4233
MORGAN,2013,9/8/2013 0:00,0,Miscellaneous,3100,37.904877,-121.874159
WYE,2012,8/12/2012 0:00,,Missing/Undefined,2934,39.008838,-122.613762
TESLA,2015,8/19/2015 0:00,4,Missing/Undefined,2850,37.6205,-121.5795
BLUE,2015,7/30/2015 0:00,92,Lightning,2826,40.38694444,-123.1733333
FELIPE,2013,5/23/2013 0:00,4,Missing/Undefined,2781,33.118631,-116.527044
ROBBERS,2012,7/11/2012 0:00,,Miscellaneous,2650,39.050556,-120.897778
BUCK,2012,8/14/2012 0:00,4,Lightning,2637,33.57706,-116.88119
SHIRLEY,2014,6/13/2014 0:00,0,Miscellaneous,2546,35.70166667,-118.5441667
TURKEY,2012,7/9/2012 0:00,1,Equipment Use,2545,35.8347,-120.2525
CUESTA,2015,8/16/2015 0:00,12,Miscellaneous,2446,35.317022,-120.621168
SHELLY,2013,7/31/2013 0:00,62,Miscellaneous,2420,41.31916667,-123.1730556
LOWELL,2015,7/25/2015 0:00,18,Missing/Undefined,2304,39.209281,-120.861137
BIA SHOCKEY,2012,9/23/2012 0:00,3,Arson,2291,32.61347,-116.37986
SWEDES,2013,8/16/2013 0:00,12,Equipment Use,2264,39.443241,-121.433033
HIGHLAND,2012,6/16/2012 0:00,4,Arson,2176.7,33.86483,-116.93431
ETIWANDA,2014,4/30/2014 0:00,,Missing/Undefined,2143,34.2008333,-117.5491667
GREAT,2011,10/1/2011 0:00,7,Lightning,2134.2,35.0975,-116.4786
ANNIE,2011,8/18/2011 0:00,8,Missing/Undefined,2076,41.89975,-120.12253
FISH,2013,8/23/2013 0:00,28,Lightning,2050,36.20527778,-118.4280556
COTTON,2010,5/15/2010 0:00,5,Equipment Use,2044,35.0475,-119.9005
GRENADE,2015,4/29/2015 0:00,,Missing/Undefined,2025,33.3894444,-117.4852778
,2013,5/3/2013 0:00,,Missing/Undefined,2000,33.903319,-118.245169
CHIHUAHUA 2,2012,8/9/2012 0:00,4,Lightning,1999.9,33.399853,-116.734946
WHITE,2013,5/27/2013 0:00,0,Campfire,1984,34.54916667,-119.8013889
COLBY,2014,1/16/2014 0:00,5,Campfire,1980,34.165,-117.8477778
HORNO,2015,8/13/2015 0:00,,Missing/Undefined,1846,33.36,-117.4722222
INDIAN,2010,7/18/2010 0:00,7,Lightning,1822,35.69616,-117.96529
MDF DH COUGAR,2011,6/8/2011 0:00,12,Campfire,1800,41.655,-121.4577778
PARKHILL,2015,6/20/2015 0:00,3,Miscellaneous,1800,35.375,-120.4353
,2015,6/20/2015 0:00,,Missing/Undefined,1800,34.4496848,-119.7698258
WELLS,2011,8/27/2011 0:00,3,Lightning,1784,35.3639,-115.7739
PINE,2015,7/30/2015 0:00,,Lightning,1773,40.27138889,-123.6358333
SLOPE,2010,7/25/2010 0:00,102,Lightning,1711,37.90953,-119.68207
GEORGE,2012,6/1/2012 0:00,16,Arson,1707,36.14916667,-118.5052778
CASCADE,2012,6/16/2012 0:00,165,Lightning,1705,37.76954,-119.6753
CARSTENS,2013,6/16/2013 0:00,21,Campfire,1702,37.56388889,-119.8991667
GAINES,2012,6/12/2012 0:00,,Miscellaneous,1700,37.497222,-120.175278
CABIN,2015,8/14/2015 0:00,19,Miscellaneous,1700,34.25611111,-117.8569444
FLAT,2012,7/11/2012 0:00,8,Miscellaneous,1688,40.7775,-123.3308333
NICOLLS,2014,7/11/2014 0:00,0,Miscellaneous,1680,35.64222222,-118.1483333
BUCK,2015,7/30/2015 0:00,,Lightning,1669,40.45583333,-123.5561111
MDFDHBSFMU06LAKE,2012,8/5/2012 0:00,4,Lightning,1667,41.75138889,-120.9963889
WEST,2010,7/27/2010 0:00,10,Missing/Undefined,1658,35.058056,-118.425833
MILL,2012,8/13/2012 0:00,10,Arson,1641,40.199158,-121.654828
ROBINSON                 ,2010,6/11/2010 0:00,,Miscellaneous,1600,37.50305555,-120.41
,2011,7/25/2011 0:00,,Missing/Undefined,1600,35.16,-120.39
MCCABE,2015,7/18/2015 0:00,,Miscellaneous,1600,37.083636,-121.101557
BERNARDO,2014,5/13/2014 0:00,,Missing/Undefined,1548,32.9972222,-117.1563889
