NWCG_REPORTING_UNIT_NAME,DURATION,STAT_CAUSE_DESCR,FIRE_SIZE,LATITUDE,LONGITUDE
Tulare Unit,,Missing/Undefined,0.01,36.304867,-119.068611
Tulare Unit,,Missing/Undefined,0.01,36.291667,-119.064533
Riverside Unit,,Miscellaneous,0.1,33.97111111,-117.5230556
Sequoia National Forest,,Equipment Use,0.1,35.6402778,-118.466389
Riverside Unit,,Debris Burning,0.1,33.77117,-117.084546
Riverside Unit,,Miscellaneous,0.1,33.93305555,-117.235
Humboldt-Del Norte Unit,,Arson,2.5,41.78389,-124.22556
Modoc National Forest,0,Campfire,0.1,41.5311111,-121.139722
Cleveland National Forest,0,Miscellaneous,0.1,33.6036111,-117.451667
Fort Yuma Agency,1,Equipment Use,0.1,32.7417,-114.6242
Monte Vista Unit,,Debris Burning,0.01,33.20582,-116.983593
Angeles National Forest,0,Equipment Use,0.1,34.5313889,-118.644444
Riverside Unit,,Debris Burning,1,33.56194444,-116.1730556
Santa Clara Unit,,Miscellaneous,0.1,37.76111111,-122.0269444
San Bernardino Unit,,Debris Burning,0.01,37.374444,-118.366944
San Bernardino National Forest,0,Equipment Use,0.1,34.3336111,-117.466944
San Bernardino National Forest,0,Campfire,0.1,33.7361111,-116.824722
Fresno-Kings Unit,,Miscellaneous,0.1,36.48888888,-119.8269444
Angeles National Forest,0,Equipment Use,2,34.5375,-118.081944
San Bernardino National Forest,0,Miscellaneous,0.1,34.2180556,-117.410278
Riverside Unit,,Equipment Use,0.1,33.69305555,-117.3730556
Monte Vista Unit,,Debris Burning,1,33.440595,-117.322576
Angeles National Forest,0,Equipment Use,0.1,34.5691667,-118.686667
Merced-Mariposa Unit,,Miscellaneous,0.1,37.42694444,-120.895
Riverside Unit,,Smoking,0.3,33.73694444,-116.4088889
San Bernardino National Forest,0,Smoking,0.25,33.7244444,-116.443889
Riverside Unit,,Missing/Undefined,0.1,33.750557,-117.114855
Riverside Unit,,Arson,0.1,33.97694444,-117.5361111
Merced-Mariposa Unit,,Miscellaneous,1,36.96694444,-120.645
Colorado River District,2,Powerline,0.1,34.2189,-114.2194
Angeles National Forest,0,Equipment Use,0.1,34.1686111,-117.848611
Cleveland National Forest,0,Campfire,0.1,33.1194444,-116.789722
Riverside Unit,,Miscellaneous,0.1,33.94694444,-117.2380556
Southern California Agency,0,Miscellaneous,1,33.5692,-116.1542
Merced-Mariposa Unit,,Miscellaneous,1,37.11305555,-120.4919444
Riverside Unit,,Miscellaneous,1,33.51805555,-116.1130556
Six Rivers National Forest,1,Campfire,0.25,41.3038889,-123.533056
Merced-Mariposa Unit,,Miscellaneous,0.1,37.08388888,-120.3111111
San Bernardino Unit,,Smoking,0.1,34.025,-117.0761111
Humboldt-Del Norte Unit,,Missing/Undefined,0.14,40.938803,-124.08328
Amador-El Dorado Unit,,Missing/Undefined,0.1,38.711707,-121.067536
San Benito-Monterey Unit,,Miscellaneous,0.1,36.81805555,-121.3911111
California Desert District,0,Miscellaneous,0.5,32.95094,-115.28421
Ventura County Fire Department,,Debris Burning,0.01,34.43261896,-118.9198283
Fort Yuma Agency,0,Arson,0.1,32.8828,-114.6925
Sonoma-Lake Napa Unit,,Debris Burning,1,38.389896,-122.437048
Hoopa Valley Tribe,0,Arson,1,41.039,-123.6542
Nevada-Yuba-Placer Unit,,Debris Burning,2,39.17745966,-121.0882637
Butte Unit,0,Debris Burning,1,39.640166,-121.444586
Merced-Mariposa Unit,,Children,0.1,37.563417,-119.927089
Amador-El Dorado Unit,0,Debris Burning,0.25,38.86328,-120.820049
Amador-El Dorado Unit,0,Arson,0.01,38.661254,-121.000329
Nevada-Yuba-Placer Unit,0,Debris Burning,1.62,39.177468,-121.088253
Amador-El Dorado Unit,,Missing/Undefined,0.1,38.35964,-120.821436
Amador-El Dorado Unit,,Missing/Undefined,0.25,38.767638,-120.616732
Butte Unit,,Debris Burning,1,39.814372,-121.584696
Humboldt-Del Norte Unit,,Debris Burning,1,40.30861,-123.90806
Fresno-Kings Unit,,Miscellaneous,0.1,36.555,-119.795
Riverside Unit,,Debris Burning,1,33.72611111,-116.945
Modoc National Forest,0,Debris Burning,0.25,41.7463889,-120.740556
Nevada-Yuba-Placer Unit,,Missing/Undefined,0.5,39.109592,-120.964346
Nevada-Yuba-Placer Unit,,Missing/Undefined,0.5,39.121108,-120.912243
Riverside Unit,,Miscellaneous,1,33.88388888,-116.5080556
California Desert District,1,Miscellaneous,1,36.2872,-117.9844
Northern California District,1,Missing/Undefined,0.1,40.8589,-120.1567
Butte Unit,,Debris Burning,0.25,39.674653,-121.538764
Merced-Mariposa Unit,,Equipment Use,0.5,37.49305555,-120.5011111
Riverside Unit,,Miscellaneous,1,33.90305555,-116.5019444
Riverside Unit,,Children,1,33.88,-117.3619444
Lassen National Forest,0,Debris Burning,0.25,40.8016667,-121.501389
Monte Vista Unit,,Miscellaneous,1,33.256315,-117.086943
Tulare Unit,,Debris Burning,0.1,36.435115,-118.906805
Eldorado National Forest,0,Arson,0.25,38.5633333,-120.533333
Los Padres National Forest,0,Miscellaneous,0.1,36.0119444,-121.524167
San Bernardino National Forest,0,Campfire,0.1,33.6563889,-116.668889
Lassen National Forest,0,Debris Burning,0.25,40.8188889,-121.502222
Central California District,3,Missing/Undefined,98,37.8114,-118.5208
Nevada-Yuba-Placer Unit,,Debris Burning,0.25,39.24981912,-121.2318404
Nevada-Yuba-Placer Unit,0,Debris Burning,0.25,39.249889,-121.230618
Sonoma-Lake Napa Unit,,Missing/Undefined,0.1,38.902585,-122.75255
Monte Vista Unit,,Missing/Undefined,1,32.567596,-116.948748
Merced-Mariposa Unit,,Miscellaneous,1,37.39694444,-120.6319444
Merced-Mariposa Unit,,Miscellaneous,0.5,37.22888888,-120.3838889
California Desert District,0,Miscellaneous,0.1,35.6208,-117.5881
Fresno-Kings Unit,0,Equipment Use,0.1,36.530519,-120.489599
San Luis Obispo Unit,,Debris Burning,0.12,35.140631,-120.575969
Fresno-Kings Unit,,Miscellaneous,1,36.35611111,-120.2088889
Fresno-Kings Unit,,Miscellaneous,1,36.85111111,-120.5630556
Riverside Unit,,Arson,1,33.97888888,-117.48
Riverside Unit,,Arson,1,33.98194444,-117.4580556
Cleveland National Forest,0,Miscellaneous,0.1,32.7277778,-116.479444
Sierra National Forest,0,Campfire,0.01,37.2594444,-119.498333
Colorado River District,18,Campfire,130,33.3881,-114.7136
Amador-El Dorado Unit,0,Debris Burning,0.75,38.414898,-120.695674
San Mateo-Santa Cruz Unit,,Debris Burning,0.1,37.113803,-121.949267
Central California District,1,Debris Burning,20,36.3318,-120.6763
Nevada-Yuba-Placer Unit,0,Debris Burning,0.5,39.328634,-121.11116
Shasta-Trinity Unit,,Debris Burning,0.25,41.029595,-121.895418
San Benito-Monterey Unit,0,Missing/Undefined,1,36.598256,-121.925056
